bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
замереть	замере'ть	Freeze / stand still, sink, stop beating, die away, die down	stillstehen, stocken, stehenbleiben, ersterben, verhallen	perfective	замирать	замри'	замри'те	за'мер	за'мерла	за'мерло	за'мерли	замру'	замрёшь	замрёт	замрём	замрёте	замру'т
записать	записа'ть	write down, put down, take down, note, jot down, record, enter	aufschreiben, notieren, nachschreiben, eintragen, anmelden, vormerken; aufnehmen / aufzeichnen	perfective	записывать	запиши'	запиши'те	записа'л	записа'ла	записа'ло	записа'ли	запишу'	запи'шешь	запи'шет	запи'шем	запи'шете	запи'шут
радоваться	ра'доваться	rejoice	sich freuen	imperfective	обрадоваться,порадоваться	ра'дуйся	ра'дуйтесь	ра'довался	ра'довалась	ра'довалось	ра'довались	ра'дуюсь	ра'дуешься	ра'дуется	ра'дуемся	ра'дуетесь	ра'дуются
вывести	вы'вести	take out, lead out, help out, make go out, turn out, withdraw, call off, remove, extirpate, destroy, exterminate, conclude, infer, depict, portray, grow, raise, hatch	führen, wegführen, abziehen, bringen, entfernen, vertilgen, ausbrüten, züchten	perfective	выводить	вы'веди	вы'ведите	вы'вел	вы'вела	вы'вело	вы'вели	вы'веду	вы'ведешь	вы'ведет	вы'ведем	вы'ведете	вы'ведут
создавать	создава'ть	create, found, originate, set up, establish	gründen, begründen, hervorbringen; erstellen, schaffen, erschaffen, entwickeln; erzeugen, produzieren, verursachen	imperfective	создать	создава'й	создава'йте	создава'л	создава'ла	создава'ло	создава'ли	создаю'	создаёшь	создаёт	создаём	создаёте	создаю'т
подарить	подари'ть	give, make a present, grant, present, favour, bestow	schenken, verschenken	perfective	дарить	подари'	подари'те	подари'л	подари'ла	подари'ло	подари'ли	подарю'	пода'ришь	пода'рит	пода'рим	пода'рите	пода'рят
глянуть	гля'нуть	glance	einen Blick werfen, anschauen, blicken	perfective	глядеть	гля'нь	гля'ньте	гля'нул	гля'нула	гля'нуло	гля'нули	гля'ну	гля'нешь	гля'нет	гля'нем	гля'нете	гля'нут
прикрыть	прикры'ть	cover	zudecken	perfective	прикрывать	прикро'й	прикро'йте	прикры'л	прикры'ла	прикры'ло	прикры'ли	прикро'ю	прикро'ешь	прикро'ет	прикро'ем	прикро'ете	прикро'ют
скрывать	скрыва'ть	hide, conceal, keep to oneself, cover	verbergen, verschleiern, verhüllen, verstecken; verheimlichen, verschweigen, geheim halten	imperfective	скрыть	скрыва'й	скрыва'йте	скрыва'л	скрыва'ла	скрыва'ло	скрыва'ли	скрыва'ю	скрыва'ешь	скрыва'ет	скрыва'ем	скрыва'ете	скрыва'ют
поступать	поступа'ть	act, behave; enter, join, matriculate, enroll	behandeln, umgehen, verfahren; immatrikuliert werden, die Aufnahmeprüfungen ablegen; eintreten	imperfective	поступить	поступа'й	поступа'йте	поступа'л	поступа'ла	поступа'ло	поступа'ли	поступа'ю	поступа'ешь	поступа'ет	поступа'ем	поступа'ете	поступа'ют
поразить	порази'ть	strike, engage, hit, startle, stagger, affect	überraschen, erstaunen, verblüffen; schlagen, besiegen, treffen	perfective	поражать	порази'	порази'те	порази'л	порази'ла	порази'ло	порази'ли	поражу'	порази'шь	порази'т	порази'м	порази'те	поразя'т
везти	везти'	to transport someone/something (by vehicle); to be lucky	fahren, bringen, transportieren; Glück haben	imperfective	повезти,отвезти,свезти	вези'	вези'те	вёз	везла'	везло'	везли'	везу'	везёшь	везёт	везём	везёте	везу'т
предстоять	предстоя'ть	to remain, be remaining, lie ahead	bevorstehen	imperfective		предсто'й	предсто'йте	предстоя'л	предстоя'ла	предстоя'ло	предстоя'ли	предсто'ю	предстои'шь	предстои'т	предстои'м	предстои'те	предстоя'т
приносить	приноси'ть	bring, fetch, yield, bring in	bringen, mitbringen, herbringen	imperfective	принести	приноси'	приноси'те	приноси'л	приноси'ла	приноси'ло	приноси'ли	приношу'	прино'сишь	прино'сит	прино'сим	прино'сите	прино'сят
